name,age,gender,caste,religion,occupation,education,annual_income,marital_status,district,family_size,ration_card_type,disability_status,bank_account,land_ownership,land_holding_acres,recommended_scheme
Lakshmi,37,Male,SC,Muslim,Employee,Graduate,180817.01,Married,Tiruchirappalli,5.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Nithya,33,Male,ST,Hindu,Homemaker,Post Graduate,135917.62,Married,Tiruchirappalli,6.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Murugan,26,Female,MBC,Others,Student,Post Graduate,133705.25,Single,Tiruchirappalli,5.0,BPL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Kumar,47,Female,MBC,Muslim,Self-employed,12th Pass,277105.35,Married,Tirunelveli,2.0,APL,No,Yes,No,0.0,MSME Subsidy Scheme
Divya,24,Female,ST,Others,Homemaker,12th Pass,147187.75,Married,Cuddalore,2.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Nithya,53,Female,ST,Others,Homemaker,No Formal Education,35719.21,Married,Kancheepuram,2.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Kumar,40,Male,BC,Muslim,Homemaker,Post Graduate,122349.86,Married,Villupuram,4.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Geetha,20,Male,OC,Others,Employee,8th Pass,110617.24,Married,Coimbatore,4.0,APL,No,Yes,No,0.0,Amma Canteen Scheme
Murugan,48,Male,OC,Christian,Student,5th Pass,60483.66,Single,Ramanathapuram,4.0,BPL,No,Yes,No,2.9,Chief Minister's Green Tamil Nadu Mission
Sangeetha,39,Female,ST,Hindu,Homemaker,Graduate,69117.42,Married,Madurai,3.0,APL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Meena,43,Female,BC,Hindu,Employee,12th Pass,200839.05,Single,Virudhunagar,4.0,APL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Balu,36,Female,MBC,Muslim,Homemaker,8th Pass,153872.1,Married,Dindigul,3.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Venkat,35,Female,MBC,Christian,Homemaker,12th Pass,,Married,Tiruchirappalli,6.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Karthik,21,Female,ST,Others,Student,Graduate,111467.62,Single,Nagapattinam,3.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Sumathy,23,Female,MBC,Christian,Homemaker,12th Pass,,Married,Chennai,6.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Murugan,42,Female,MBC,,Homemaker,Graduate,90136.02,Married,Nagapattinam,5.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Anitha,27,Female,SC,Christian,Farmer,Graduate,57359.82,Single,Kancheepuram,6.0,APL,No,Yes,Yes,3.73,PM Kisan Samman Nidhi
Venkat,65,Male,BC,Muslim,Farmer,Graduate,102938.93,Married,Nagapattinam,2.0,BPL,No,Yes,Yes,2.92,Free Distribution of Seeds and Fertilizers
Selvam,27,Female,MBC,Others,Farmer,No Formal Education,45001.27,Married,Tirunelveli,6.0,BPL,No,Yes,Yes,3.51,Free Borewell Scheme for Farmers
Divya,24,Female,ST,Others,Farmer,Post Graduate,48443.88,Married,Dindigul,5.0,APL,No,Yes,Yes,2.1,Crop Insurance Scheme (PMFBY)
Arjun,65,Female,SC,Others,Farmer,8th Pass,180802.85,Married,Villupuram,7.0,APL,No,Yes,Yes,1.19,Kisan Credit Card Scheme
Karthik,43,Male,MBC,Muslim,Farmer,Graduate,141889.7,Married,Kancheepuram,3.0,BPL,No,,Yes,3.01,Solar Pump Scheme for Farmers
Kumar,27,Female,BC,Hindu,Farmer,8th Pass,121721.3,Married,Tirunelveli,5.0,BPL,No,Yes,Yes,3.14,Coconut Development Board Subsidy
Kumar,52,Male,ST,Others,Fisher,8th Pass,49887.66,Married,Sivaganga,3.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Arjun,36,Male,MBC,Muslim,Fisher,Post Graduate,45022.24,Married,Ramanathapuram,3.0,BPL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Nithya,44,Male,ST,Christian,Fisher,8th Pass,62183.53,Married,Chennai,4.0,BPL,No,,No,0.0,Fishermen Housing Scheme
Kavitha,47,Male,BC,Others,Fisher,5th Pass,82523.61,Married,Nagapattinam,6.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Anitha,6,Male,ST,Others,Student,No Formal Education,73072.54,Single,Ramanathapuram,5.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
Divya,20,Male,BC,Muslim,Student,Graduate,100740.95,Single,Nagapattinam,5.0,APL,No,Yes,No,0.0,Free Laptop Scheme
Sumathy,25,Female,MBC,Muslim,Student,10th Pass,109211.5,Single,Villupuram,2.0,APL,No,Yes,No,0.0,Pudhumai Penn Scheme
Sangeetha,24,Female,BC,Christian,Unemployed,Graduate,180784.7,,Vellore,3.0,APL,No,Yes,No,0.0,CM Internship Programme
Nithya,26,Female,ST,,Unemployed,Post Graduate,63424.94,Single,Chennai,3.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Lakshmi,6,Female,MBC,Hindu,Student,5th Pass,30087.08,Single,Vellore,4.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Rajan,25,Male,SC,Others,Student,12th Pass,182653.05,Single,Chennai,4.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Anitha,29,Female,SC,Others,Unorganised Worker,8th Pass,68474.86,Married,Erode,3.0,BPL,No,Yes,No,,Free Housing Scheme (SC/ST)
Karthik,11,Female,SC,Hindu,Student,10th Pass,57551.84,Single,Villupuram,3.0,APL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Arjun,32,Male,SC,Christian,Self-employed,12th Pass,123242.13,Single,Madurai,4.0,BPL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Anitha,33,Male,SC,Christian,Farmer,Post Graduate,477098.66,Married,Thanjavur,4.0,BPL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Balu,35,Male,BC,Hindu,Unorganised Worker,5th Pass,77638.7,Widowed,Namakkal,2.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Anitha,71,Female,ST,Muslim,Student,Graduate,111990.68,Widowed,Tirunelveli,4.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Murugan,46,Female,BC,Muslim,Unemployed,5th Pass,68714.3,Single,Thoothukudi,1.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Nithya,10,Female,BC,Muslim,Student,5th Pass,23243.93,Single,Krishnagiri,6.0,BPL,Yes,No,No,0.0,Special School Assistance
Selvam,27,Female,MBC,Others,Student,12th Pass,153463.18,Single,Sivaganga,2.0,BPL,No,Yes,No,0.0,CM Youth Sports Incentive
Vijay,35,Female,MBC,Muslim,Unemployed,Post Graduate,110937.66,Single,Kancheepuram,4.0,BPL,No,Yes,No,,Self-Employment Loan Scheme (NEEDS)
Murugan,47,Female,BC,Hindu,Unorganised Worker,No Formal Education,70090.86,Married,Virudhunagar,6.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Nithya,51,Male,ST,,Construction Worker,No Formal Education,,Married,Sivaganga,4.0,,No,Yes,No,0.0,Construction Workers Welfare Scheme
Kavitha,54,Male,BC,Others,Toddy Tapper,5th Pass,34019.3,Married,Sivaganga,2.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Geetha,73,Female,SC,Others,Farmer,10th Pass,153397.87,Widowed,Ramanathapuram,1.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Kumar,54,Female,SC,Christian,Homemaker,12th Pass,82097.5,Widowed,Namakkal,2.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
Meena,24,Male,OC,,Self-employed,5th Pass,249540.96,Single,Tirunelveli,3.0,BPL,No,Yes,No,0.55,CMCHIS – Chief Minister's Health Insurance
Venkat,42,Male,SC,Christian,Unorganised Worker,5th Pass,140706.39,Married,Ramanathapuram,4.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Sumathy,49,Male,BC,Hindu,Unorganised Worker,8th Pass,126635.27,Married,Madurai,4.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Anitha,46,Female,MBC,Hindu,Employee,10th Pass,239303.96,Married,Krishnagiri,5.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Karthik,44,Male,MBC,Hindu,Unorganised Worker,5th Pass,32786.81,Married,Sivaganga,5.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Priya,27,Female,BC,Others,Student,10th Pass,42919.26,Single,Sivaganga,2.0,APL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Sangeetha,39,Male,BC,,Self-employed,Graduate,110905.01,Married,Tiruchirappalli,4.0,APL,No,Yes,No,0.0,MSME Subsidy Scheme
Rekha,47,Female,ST,Hindu,Homemaker,Post Graduate,66175.28,Married,Kancheepuram,5.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Meena,65,Female,ST,Hindu,Homemaker,No Formal Education,27033.78,Married,Villupuram,4.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Balu,28,Male,BC,Christian,Homemaker,Post Graduate,105521.78,Married,Nagapattinam,6.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Murugan,46,Male,MBC,Others,Unorganised Worker,Graduate,132199.64,Married,,4.0,APL,No,Yes,No,0.0,Amma Canteen Scheme
Lakshmi,53,Male,OC,Others,Student,12th Pass,408432.04,Single,Dindigul,2.0,BPL,No,Yes,Yes,2.59,Chief Minister's Green Tamil Nadu Mission
Karthik,44,Female,ST,Hindu,Homemaker,10th Pass,83457.94,Married,Sivaganga,5.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Rekha,21,Female,MBC,Others,Employee,Post Graduate,122033.04,Single,Vellore,4.0,BPL,No,Yes,No,,Amma Two Wheeler Scheme
Murugan,39,Female,ST,Muslim,Homemaker,12th Pass,84247.98,Married,Sivaganga,6.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Priya,30,Female,MBC,Christian,Homemaker,Graduate,182386.61,Married,Vellore,5.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Selvam,21,Female,MBC,Hindu,Student,Post Graduate,100042.0,Single,Salem,2.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Vijay,27,Female,BC,Muslim,Homemaker,12th Pass,42759.19,Married,Chennai,5.0,BPL,No,,No,0.0,Cradle Baby Scheme
Arjun,53,Female,MBC,Christian,Homemaker,5th Pass,85864.82,Married,Chennai,3.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Kumar,32,Male,BC,Others,Farmer,5th Pass,85262.77,Married,Namakkal,2.0,APL,No,Yes,Yes,0.62,PM Kisan Samman Nidhi
Rajan,62,Female,SC,Muslim,Farmer,12th Pass,94887.02,,Nagapattinam,4.0,BPL,No,Yes,Yes,0.59,Free Distribution of Seeds and Fertilizers
Sangeetha,30,Female,MBC,Hindu,Farmer,12th Pass,175159.32,Married,Thanjavur,3.0,BPL,No,Yes,Yes,2.2,Free Borewell Scheme for Farmers
Arjun,31,Male,SC,Hindu,Farmer,5th Pass,199739.97,Married,Tiruchirappalli,5.0,APL,No,Yes,Yes,3.49,Crop Insurance Scheme (PMFBY)
Vijay,25,Female,SC,Muslim,Farmer,12th Pass,113373.12,Married,Coimbatore,2.0,BPL,No,Yes,Yes,2.74,Kisan Credit Card Scheme
Balu,54,Female,BC,Muslim,Farmer,12th Pass,136285.33,Married,,4.0,BPL,No,Yes,Yes,3.35,Solar Pump Scheme for Farmers
Sumathy,32,Male,SC,Others,Farmer,5th Pass,247563.61,Married,Tirunelveli,,APL,No,Yes,Yes,4.94,Coconut Development Board Subsidy
Arjun,39,Male,SC,Muslim,Fisher,No Formal Education,,Married,Sivaganga,3.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Vijay,30,Male,SC,Christian,Fisher,Post Graduate,31323.36,Married,Kancheepuram,5.0,APL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Sangeetha,43,Male,SC,Muslim,Fisher,Graduate,34863.24,Married,Thanjavur,2.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Sangeetha,29,Male,MBC,Christian,Fisher,Post Graduate,26519.5,Married,Coimbatore,4.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Murugan,14,Male,BC,Christian,Student,No Formal Education,37930.01,Single,Nagapattinam,4.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
Sangeetha,16,Female,BC,Hindu,Student,Post Graduate,86152.45,Single,Tiruchirappalli,2.0,BPL,No,Yes,No,0.0,Free Laptop Scheme
Murugan,18,Female,SC,Hindu,Student,Post Graduate,75791.6,Single,Thanjavur,3.0,APL,No,Yes,No,0.0,Pudhumai Penn Scheme
Geetha,23,Female,MBC,Christian,Unemployed,Post Graduate,277957.36,Single,Krishnagiri,5.0,BPL,No,Yes,No,0.0,CM Internship Programme
,25,Male,MBC,,Unemployed,Graduate,116495.25,Single,Nagapattinam,5.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Nithya,12,Male,BC,Others,Student,No Formal Education,,Single,Cuddalore,2.0,BPL,No,No,No,,Free Bus Pass for Students
Balu,20,Female,SC,Hindu,Student,Graduate,53638.46,Single,Erode,2.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Meena,29,Female,SC,Others,Homemaker,12th Pass,58977.55,Married,Villupuram,6.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Nithya,17,Female,SC,Christian,Student,12th Pass,70483.29,Single,Namakkal,6.0,BPL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Arjun,34,Male,SC,Muslim,Self-employed,10th Pass,155380.06,Single,Thoothukudi,4.0,APL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Vijay,34,Female,SC,Christian,Employee,Post Graduate,165689.3,Married,Krishnagiri,3.0,APL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Rekha,33,Male,MBC,Others,Unorganised Worker,8th Pass,10882.42,Widowed,Dindigul,1.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Arjun,72,Male,ST,Muslim,Homemaker,5th Pass,126257.98,Widowed,Thanjavur,1.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Lakshmi,53,Male,MBC,Christian,Homemaker,10th Pass,17940.42,Single,Coimbatore,2.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Murugan,18,Female,BC,Others,Student,12th Pass,175404.02,Single,Ramanathapuram,2.0,BPL,Yes,No,No,0.0,Special School Assistance
Meena,17,Female,MBC,Others,Student,10th Pass,82500.93,Single,Nagapattinam,3.0,BPL,No,Yes,No,0.0,CM Youth Sports Incentive
Sangeetha,36,Male,SC,Muslim,Unemployed,12th Pass,120105.59,Married,Sivaganga,4.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Arjun,34,Male,SC,Christian,Unorganised Worker,Post Graduate,68049.91,Married,Sivaganga,5.0,BPL,,Yes,No,0.0,Unorganised Workers Welfare Scheme
Priya,44,Female,MBC,Muslim,Construction Worker,Post Graduate,,Married,Ramanathapuram,2.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Balu,36,Male,SC,Hindu,Toddy Tapper,5th Pass,75962.58,Married,,6.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Kavitha,77,Female,SC,Others,Homemaker,No Formal Education,115480.68,Married,Madurai,2.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Sangeetha,60,Female,MBC,Others,Farmer,12th Pass,77230.17,Widowed,Thoothukudi,1.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
Venkat,65,Male,BC,Christian,Homemaker,5th Pass,241532.68,Single,Coimbatore,2.0,APL,No,Yes,No,2.42,CMCHIS – Chief Minister's Health Insurance
Selvam,50,Male,BC,Others,Homemaker,5th Pass,120888.22,Married,Nagapattinam,6.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Rajan,30,Female,MBC,Muslim,Unorganised Worker,Post Graduate,49321.71,Married,Kancheepuram,3.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Selvam,54,Female,MBC,Muslim,Employee,10th Pass,315569.42,Married,Madurai,2.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Kavitha,46,Female,OC,Christian,Farmer,Post Graduate,211399.24,Single,Salem,4.0,APL,No,Yes,No,,Amma Mini Clinic
Geetha,21,Female,SC,Christian,Student,10th Pass,175260.56,Single,Nagapattinam,2.0,BPL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Priya,36,Female,SC,Hindu,Self-employed,Graduate,305215.07,Married,Ramanathapuram,2.0,BPL,No,Yes,No,0.0,MSME Subsidy Scheme
Kumar,20,Female,SC,Hindu,Homemaker,5th Pass,41558.93,Married,Sivaganga,3.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Nithya,46,Female,BC,Christian,Homemaker,12th Pass,134444.57,Married,Virudhunagar,4.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Meena,56,Male,MBC,Hindu,Homemaker,12th Pass,134610.51,Married,Madurai,2.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Anitha,42,Female,MBC,Hindu,Employee,12th Pass,268633.43,Married,Erode,5.0,BPL,No,Yes,No,0.0,Amma Canteen Scheme
Anitha,28,Female,OC,Christian,Employee,,125611.51,Single,Kancheepuram,6.0,APL,No,Yes,Yes,1.2,Chief Minister's Green Tamil Nadu Mission
,43,Female,OC,,Homemaker,Post Graduate,134016.59,Married,,4.0,APL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Arjun,29,Female,MBC,Hindu,Employee,Post Graduate,72064.05,Single,Krishnagiri,5.0,BPL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Karthik,23,Female,ST,Christian,Homemaker,12th Pass,121350.28,Married,Thanjavur,5.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Lakshmi,18,Female,MBC,Hindu,Homemaker,10th Pass,94639.38,Married,,5.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Lakshmi,21,Female,MBC,Hindu,Student,Post Graduate,91067.64,Single,Nagapattinam,5.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Nithya,30,Female,SC,Muslim,Homemaker,8th Pass,26304.97,Married,Erode,6.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Vijay,22,Female,SC,Hindu,Homemaker,No Formal Education,19861.39,Married,Thoothukudi,3.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Balu,23,Female,ST,Others,Farmer,5th Pass,163459.21,Single,Nagapattinam,6.0,APL,No,Yes,Yes,2.55,PM Kisan Samman Nidhi
Balu,23,Female,ST,Christian,Farmer,5th Pass,131990.13,Married,Sivaganga,4.0,BPL,No,Yes,Yes,0.97,Free Distribution of Seeds and Fertilizers
Priya,61,Male,BC,Christian,Farmer,8th Pass,63325.51,Married,Virudhunagar,3.0,BPL,No,Yes,Yes,2.19,Free Borewell Scheme for Farmers
Rajan,39,Female,BC,Muslim,Farmer,12th Pass,32093.31,Married,Dindigul,6.0,BPL,No,Yes,Yes,1.34,Crop Insurance Scheme (PMFBY)
Selvam,56,Female,SC,Christian,Farmer,5th Pass,92481.13,Married,Kancheepuram,6.0,APL,No,Yes,Yes,1.0,Kisan Credit Card Scheme
,59,Female,BC,Hindu,Farmer,10th Pass,127416.06,Married,Ramanathapuram,3.0,BPL,No,Yes,Yes,3.51,Solar Pump Scheme for Farmers
Geetha,33,Female,OC,Others,Farmer,Graduate,151185.59,Married,Tirunelveli,3.0,BPL,No,Yes,Yes,1.86,Coconut Development Board Subsidy
Geetha,51,Male,ST,Muslim,Fisher,8th Pass,64863.79,Married,Krishnagiri,3.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Rekha,32,Male,SC,Muslim,Fisher,No Formal Education,39795.12,Married,Vellore,3.0,BPL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Vijay,36,Male,SC,Muslim,Fisher,No Formal Education,62934.15,Married,Coimbatore,4.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Rajan,35,Male,MBC,Christian,Fisher,8th Pass,32794.4,Married,Ramanathapuram,4.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Kavitha,11,Female,MBC,,Student,No Formal Education,50812.79,Single,Erode,6.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
,17,Male,SC,Hindu,Student,Graduate,186065.36,Single,Dindigul,2.0,APL,No,Yes,No,0.0,Free Laptop Scheme
Venkat,19,Female,ST,Others,Student,Graduate,117059.92,Single,Ramanathapuram,5.0,BPL,No,Yes,No,0.0,Pudhumai Penn Scheme
Arjun,20,Male,MBC,Others,Unemployed,Graduate,236385.14,Single,Namakkal,3.0,BPL,No,Yes,No,0.0,CM Internship Programme
Selvam,22,Female,MBC,Christian,Unemployed,Post Graduate,105318.1,Single,Cuddalore,5.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Lakshmi,18,Male,MBC,Hindu,Student,Graduate,57369.61,Single,Thoothukudi,2.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Rajan,18,Male,SC,Others,Student,12th Pass,134183.61,Single,Vellore,3.0,BPL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Sumathy,43,Male,SC,Muslim,Farmer,12th Pass,94937.54,Married,Ramanathapuram,5.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Priya,22,Male,SC,Christian,Student,No Formal Education,41900.42,Single,Ramanathapuram,4.0,APL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Murugan,26,Female,SC,Others,Self-employed,Post Graduate,69245.35,Married,Tiruchirappalli,5.0,BPL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Anitha,30,Male,SC,Hindu,Self-employed,12th Pass,174433.02,Married,Krishnagiri,3.0,BPL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Rajan,48,Male,OC,Muslim,Homemaker,No Formal Education,58607.21,Single,Tiruchirappalli,1.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Geetha,20,Female,BC,Hindu,Unemployed,No Formal Education,69863.94,Married,Tirunelveli,5.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Karthik,55,Female,MBC,Hindu,Homemaker,,60316.48,Single,Namakkal,4.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Rekha,12,Male,SC,Muslim,Student,8th Pass,43928.24,Single,Coimbatore,6.0,BPL,Yes,No,No,0.0,Special School Assistance
Sumathy,28,Female,OC,Hindu,Student,Post Graduate,186616.11,Single,Cuddalore,4.0,APL,No,Yes,No,0.0,CM Youth Sports Incentive
Balu,42,Male,ST,Hindu,Unemployed,Post Graduate,86914.59,Single,Namakkal,3.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
,46,Male,BC,Christian,Unorganised Worker,5th Pass,30079.73,Married,Erode,3.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Selvam,30,Male,BC,Christian,Construction Worker,10th Pass,56799.02,Married,Dindigul,2.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Priya,55,Male,MBC,Others,Toddy Tapper,Post Graduate,63286.06,Married,Nagapattinam,3.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Geetha,80,Male,BC,Others,Homemaker,Graduate,154275.68,Married,Tirunelveli,5.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Rekha,65,Female,MBC,Hindu,Farmer,8th Pass,52000.37,Widowed,Nagapattinam,1.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
Selvam,54,Male,OC,Hindu,Homemaker,10th Pass,96836.51,Married,Salem,5.0,APL,No,Yes,Yes,2.06,CMCHIS – Chief Minister's Health Insurance
Lakshmi,53,Female,MBC,Christian,Farmer,Graduate,16838.21,Married,Nagapattinam,2.0,BPL,No,Yes,No,,Free Ration Scheme (PDS)
Kumar,29,Female,BC,Muslim,Unorganised Worker,10th Pass,255091.25,Married,Namakkal,7.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Nithya,59,Female,SC,Muslim,Employee,Graduate,238333.72,Married,Erode,2.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Divya,74,Male,OC,Hindu,Homemaker,12th Pass,81531.05,Married,Thoothukudi,6.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Rajan,23,Female,SC,Christian,Student,Post Graduate,180372.07,Single,Villupuram,2.0,,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Sumathy,43,Male,SC,Hindu,Self-employed,Post Graduate,178240.9,Single,Cuddalore,4.0,APL,No,Yes,No,0.0,MSME Subsidy Scheme
Divya,32,Female,SC,Others,Homemaker,Graduate,103609.4,Married,Cuddalore,3.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Karthik,58,Male,MBC,Christian,Unorganised Worker,8th Pass,54521.35,Married,Nagapattinam,4.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Priya,43,Female,ST,Christian,Homemaker,Graduate,64268.9,Married,Vellore,5.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Meena,28,Female,ST,Others,Construction Worker,Graduate,223091.61,Married,Nagapattinam,4.0,APL,No,Yes,No,0.0,Amma Canteen Scheme
Kavitha,27,Male,MBC,Muslim,Farmer,8th Pass,441297.07,Single,Thoothukudi,5.0,APL,No,Yes,No,2.58,Chief Minister's Green Tamil Nadu Mission
Lakshmi,46,Female,ST,Hindu,Homemaker,10th Pass,122411.29,Married,Thoothukudi,6.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Geetha,19,Female,SC,Others,Employee,,166633.75,Single,Chennai,3.0,BPL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Balu,23,Female,SC,Muslim,Homemaker,No Formal Education,140042.64,Married,Cuddalore,4.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Murugan,42,Female,BC,Others,Homemaker,Graduate,43983.35,Married,Erode,6.0,BPL,No,,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Vijay,24,Female,MBC,Muslim,Student,Graduate,65455.52,Single,Ramanathapuram,4.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Arjun,30,Female,SC,Christian,Homemaker,5th Pass,42169.45,Married,Salem,3.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Anitha,34,Female,MBC,Hindu,Homemaker,12th Pass,50959.98,Married,Ramanathapuram,5.0,BPL,No,Yes,No,,Free Sewing Machine Scheme
Lakshmi,31,Female,ST,Muslim,Farmer,Graduate,50075.66,Single,Thoothukudi,5.0,APL,No,Yes,Yes,2.3,PM Kisan Samman Nidhi
Meena,45,Female,BC,,Farmer,10th Pass,136969.52,Married,Namakkal,5.0,BPL,No,Yes,Yes,1.08,Free Distribution of Seeds and Fertilizers
